Description=Generated by CoatingRecipeMaker v4.1.0.76, Engine=MultiThread; AOI=0, POL=A, CHA=0, ConeSteps=21, Data is clipped beyond OD=7
DateTimeCreated=1/26/2023 4:00:55 PM
X(nm)	Y(FractionT)
570.1	0.290338371301653
570.2	0.556973996717799
570.3	0.827469472639042
570.4	0.96108933400823
570.5	0.989234920353824
570.6	0.987285386639136
570.7	0.985291246369944
570.8	0.987088872342081
570.9	0.98982462657307
571	0.991067863365524
571.1	0.990277824447236
571.2	0.988250204485659
571.3	0.986164391471352
571.4	0.984916515081196
571.5	0.984866764762086
571.6	0.985880625754962
571.7	0.987509049341732
571.8	0.98919751359429
571.9	0.990461286728815
572	0.990996573962117
572.1	0.990719974220672
572.2	0.989746305030077
572.3	0.988326453723213
572.4	0.986770348101471
572.5	0.985375999738893
572.6	0.984377320866852
572.7	0.983915059283409
572.8	0.984029229889815
572.9	0.984668369693709
573	0.985710083517439
573.1	0.986987655295733
573.2	0.988318223837383
573.3	0.989528827412737
573.4	0.990477470179347
573.5	0.991067318941232
573.6	0.991253215656554
573.7	0.99104079652961
573.8	0.990479472056258
573.9	0.989651175020153
574	0.988657032357793
574.1	0.987603977922938
574.2	0.986592902891647
574.3	0.985709386106015
574.4	0.985017494025432
574.5	0.984556680760606
574.6	0.98434149210785
574.7	0.984363581074665
574.8	0.984595450349034
574.9	0.984995317712474
575	0.985512526765115
575.1	0.986092979983486
575.2	0.986684145631928
575.3	0.987239282015143
575.4	0.987720624100329
575.5	0.988101392171627
575.6	0.988366597194507
575.7	0.988512724579967
575.8	0.988546467367513
575.9	0.988482743263784
576	0.988342263134378
576.1	0.988148921554296
576.2	0.987927257006502
576.3	0.987700187148553
576.4	0.98748717118136
576.5	0.987302894258986
576.6	0.987156514079183
576.7	0.987051461381412
576.8	0.986985746275503
