Typical Measured Spectrum of Semrock FF01-446/523/600/677 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
434.6	0.97671
434.8	0.97861
435.0	0.97887
435.2	0.97594
435.4	0.96983
435.6	0.96203
435.8	0.95291
436.0	0.94493
436.2	0.93986
436.4	0.93678
436.6	0.93699
436.8	0.93843
437.0	0.94142
437.2	0.94334
437.4	0.94375
437.6	0.94258
437.8	0.94231
438.0	0.94298
438.2	0.94497
438.4	0.94835
438.6	0.95479
438.8	0.96176
439.0	0.96861
439.2	0.97262
439.4	0.97533
439.6	0.97356
439.8	0.97112
440.0	0.9672
440.2	0.96456
440.4	0.96309
440.6	0.96331
440.8	0.96415
441.0	0.96695
441.2	0.9677
441.4	0.96841
441.6	0.96602
441.8	0.96369
442.0	0.96019
442.2	0.9576
442.4	0.95632
442.6	0.95697
442.8	0.95949
443.0	0.96339
443.2	0.96819
443.4	0.97311
443.6	0.9772
443.8	0.9798
444.0	0.98109
444.2	0.98089
444.4	0.97913
444.6	0.97602
444.8	0.97144
445.0	0.96682
445.2	0.96282
445.4	0.95767
445.6	0.95555
445.8	0.95332
446.0	0.95183
446.2	0.95198
446.4	0.95283
446.6	0.95283
446.8	0.95286
447.0	0.95056
447.2	0.94761
447.4	0.94489
447.6	0.94167
447.8	0.94008
448.0	0.93977
448.2	0.9432
448.4	0.9464
448.6	0.95307
448.8	0.9587
449.0	0.96359
449.2	0.96725
449.4	0.96785
449.6	0.96777
449.8	0.96668
450.0	0.9653
450.2	0.96533
450.4	0.9663
450.6	0.9689
450.8	0.97189
451.0	0.97222
451.2	0.97137
451.4	0.96782
451.6	0.96074
451.8	0.95242
452.0	0.94443
452.2	0.93826
452.4	0.93548
452.6	0.93593
452.8	0.9394
453.0	0.94467
453.2	0.95056
453.4	0.95311
453.6	0.95472
453.8	0.95293
454.0	0.94841
454.2	0.94478
454.4	0.94138
454.6	0.94075
454.8	0.94312
455.0	0.94795
455.2	0.95586
455.4	0.96376
455.6	0.97085
455.8	0.97681
456.0	0.98011
