Typical Measured Spectrum of Semrock LP02-633RE Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
504.4	0.05611
504.6	0.01216
504.8	0.00864
505	0.01425
505.2	0.11008
505.4	0.13597
505.6	0.01763
505.8	0.00549
506	0.00703
506.2	0.07405
506.4	0.08142
506.6	0.00768
506.8	0.00272
507	0.02035
507.2	0.05705
507.4	0.00713
507.6	0.00174
507.8	0.01946
508	0.01012
508.2	0.00108
508.4	0.0032
508.6	0.00129
508.8	0.00046385
509	0.00052157
509.2	0.00039718
509.4	0.00034578
509.6	0.00036837
509.8	0.00030399
510	0.00028783
510.2	0.00027424
510.4	0.00024105
510.6	0.00022368
510.8	0.00018656
511	9.2454E-05
511.2	6.4899E-05
511.4	4.5557E-05
511.6	3.1979E-05
511.8	2.2448E-05
512	1.5758E-05
512.2	1.1061E-05
512.4	7.7646E-06
512.6	5.4504E-06
512.8	3.826E-06
513	2.6857E-06
513.2	2.1452E-06
513.4	1.7264E-06
513.6	1.3893E-06
513.8	1.1181E-06
514	8.9982E-07
514.2	7.2415E-07
514.4	5.8277E-07
514.6	4.69E-07
514.8	3.7744E-07
515	3.0375E-07
515.2	2.671E-07
515.4	2.38E-07
515.6	2.1207E-07
515.8	1.8897E-07
516	1.6838E-07
516.2	1.5003E-07
516.4	1.3369E-07
516.6	1.1912E-07
516.8	1.0615E-07
517	9.4581E-08
517.2	9.2739E-08
517.4	9.3204E-08
517.6	9.3671E-08
517.8	9.4141E-08
518	9.4613E-08
518.2	9.5087E-08
518.4	9.5564E-08
518.6	9.6043E-08
518.8	9.6525E-08
519	9.7009E-08
519.2	9.7038E-08
519.4	9.6893E-08
519.6	9.6749E-08
519.8	9.6605E-08
520	9.6462E-08
520.2	9.6318E-08
520.4	9.6175E-08
520.6	9.6032E-08
520.8	9.5889E-08
521	9.5746E-08
521.2	9.6725E-08
521.4	9.7713E-08
521.6	9.8712E-08
521.8	9.972E-08
522	1.0074E-07
522.2	1.0177E-07
522.4	1.0281E-07
522.6	1.0386E-07
522.8	1.0492E-07
523	1.0599E-07
523.2	1.0587E-07
523.4	1.0569E-07
523.6	1.055E-07
523.8	1.0531E-07
524	1.0512E-07
524.2	1.0494E-07
524.4	1.0475E-07
524.6	1.0457E-07
524.8	1.0438E-07
525	1.042E-07
525.2	1.0151E-07
525.4	9.8555E-08
525.6	9.5684E-08
525.8	9.2896E-08
526	9.019E-08
526.2	8.7563E-08
526.4	8.5012E-08
526.6	8.2536E-08
526.8	8.0131E-08
527	7.7797E-08
527.2	7.4554E-08
527.4	7.1229E-08
527.6	6.8052E-08
527.8	6.5017E-08
528	6.2117E-08
528.2	5.9347E-08
528.4	5.67E-08
528.6	5.4171E-08
528.8	5.1755E-08
529	4.9447E-08
529.2	4.9528E-08
529.4	5.0418E-08
529.6	5.1324E-08
529.8	5.2246E-08
530	5.3185E-08
530.2	5.4141E-08
530.4	5.5114E-08
530.6	5.6105E-08
530.8	5.7113E-08
531	5.814E-08
531.2	6.1051E-08
531.4	6.4119E-08
531.6	6.734E-08
531.8	7.0723E-08
532	7.4276E-08
532.2	7.8008E-08
532.4	8.1927E-08
532.6	8.6043E-08
532.8	9.0366E-08
533	9.4906E-08
