Typical Measured Spectrum of Semrock FF596-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
543.4	0.00432
543.6	0.00406
543.8	0.00367
544.0	0.00334
544.2	0.00301
544.4	0.00273
544.6	0.00253
544.8	0.00237
545.0	0.00222
545.2	0.00215
545.4	0.00206
545.6	0.00202
545.8	0.00197
546.0	0.00197
546.2	0.00195
546.4	0.002
546.6	0.00199
546.8	0.00204
547.0	0.00214
547.2	0.00228
547.4	0.00242
547.6	0.0027
547.8	0.00305
548.0	0.00351
548.2	0.00401
548.4	0.00451
548.6	0.005
548.8	0.00534
549.0	0.00563
549.2	0.00584
549.4	0.00591
549.6	0.00589
549.8	0.00577
550.0	0.00558
550.2	0.00529
550.4	0.00492
550.6	0.00448
550.8	0.00399
551.0	0.00347
551.2	0.00301
551.4	0.00266
551.6	0.00238
551.8	0.00221
552.0	0.00207
552.2	0.00198
552.4	0.00191
552.6	0.00188
552.8	0.00188
553.0	0.00191
553.2	0.00193
553.4	0.00201
553.6	0.00218
553.8	0.00245
554.0	0.00298
554.2	0.00379
554.4	0.00474
554.6	0.00564
554.8	0.00633
555.0	0.00685
555.2	0.0071
555.4	0.0073
555.6	0.00731
555.8	0.00719
556.0	0.00695
556.2	0.00658
556.4	0.0061
556.6	0.00541
556.8	0.00463
557.0	0.0038
557.2	0.00302
557.4	0.00235
557.6	0.00189
557.8	0.00165
558.0	0.00147
558.2	0.00142
558.4	0.0014
558.6	0.00135
558.8	0.00133
559.0	0.00131
559.2	0.00129
559.4	0.0013
559.6	0.00131
559.8	0.00129
560.0	0.00128
560.2	0.00127
560.4	0.00127
560.6	0.00127
560.8	0.00127
561.0	0.00128
561.2	0.00128
561.4	0.00128
561.6	0.00128
561.8	0.00127
562.0	0.00129
562.2	0.00129
562.4	0.00129
562.6	0.0013
562.8	0.0013
563.0	0.0013
563.2	0.00132
563.4	0.00134
563.6	0.00133
563.8	0.00132
564.0	0.00135
564.2	0.00138
564.4	0.0014
564.6	0.00136
564.8	0.00136
565.0	0.00138
565.2	0.00139
565.4	0.00142
565.6	0.0014
565.8	0.00137
566.0	0.00138
566.2	0.00138
566.4	0.00136
566.6	0.00138
566.8	0.00136
567.0	0.00133
567.2	0.00134
567.4	0.00132
567.6	0.00132
567.8	0.00128
568.0	0.00132
568.2	0.0013
568.4	0.00129
568.6	0.00131
568.8	0.00129
569.0	0.00129
569.2	0.00127
569.4	0.00128
569.6	0.00128
569.8	0.00129
570.0	0.0013
570.2	0.0013
570.4	0.00131
570.6	0.0013
570.8	0.00131
571.0	0.0013
571.2	0.00133
571.4	0.0013
571.6	0.00131
571.8	0.00133
572.0	0.00133
572.2	0.00131
572.4	0.00132
572.6	0.00133
572.8	0.00132
573.0	0.00132
573.2	0.00135
573.4	0.00134
573.6	0.00133
573.8	0.00134
574.0	0.00135
574.2	0.00135
574.4	0.00135
574.6	0.00136
574.8	0.00137
575.0	0.00138
575.2	0.00136
575.4	0.0014
575.6	0.00139
575.8	0.00141
576.0	0.00139
576.2	0.00139
576.4	0.0014
576.6	0.0014
576.8	0.00142
577.0	0.00142
577.2	0.00144
577.4	0.00144
577.6	0.00145
577.8	0.00147
578.0	0.00148
578.2	0.00148
578.4	0.00146
